date,trips
2016-06-28,341458
2016-06-29,341255
2016-06-30,343847
2016-07-01,370899
2016-07-02,322040
2016-07-03,299439
2016-07-04,261741
2016-07-05,303881
2016-07-06,315192
2016-07-07,346189
2016-07-08,371633
2016-07-09,370599
2016-07-10,323563
2016-07-11,304681
2016-07-12,325578
2016-07-13,359102
2016-07-14,376866
2016-07-15,395920
2016-07-16,394061
2016-07-17,345092
2016-07-18,337792
2016-07-19,335548
2016-07-20,350291
2016-07-21,372082
2016-07-22,409032
2016-07-23,408105
2016-07-24,350650
2016-07-25,354137
2016-07-26,349107
2016-07-27,359202
2016-07-28,379488
2016-07-29,412774
2016-07-30,421253
2016-07-31,351421
2016-08-01,322890
2016-08-02,334189
2016-08-03,344567
2016-08-04,361898
2016-08-05,384614
2016-08-06,388183
2016-08-07,340252
2016-08-08,310650
2016-08-09,335639
2016-08-10,357539
2016-08-11,390414
2016-08-12,420499
2016-08-13,424573
2016-08-14,363470
2016-08-15,333794
2016-08-16,356607
2016-08-17,359751
2016-08-18,373439
2016-08-19,398713
2016-08-20,396518
2016-08-21,364764
2016-08-22,315878
2016-08-23,331270
2016-08-24,348051
2016-08-25,370656
2016-08-26,398428
2016-08-27,408750
2016-08-28,367119
2016-08-29,328424
2016-08-30,336408
2016-08-31,357016
2016-09-01,379925
2016-09-02,381891
2016-09-03,380189
2016-09-04,358513
2016-09-05,305535
2016-09-06,354525
2016-09-07,369306
2016-09-08,405664
2016-09-09,450511
2016-09-10,473792
2016-09-11,393353
2016-09-12,344503
2016-09-13,364830
2016-09-14,388409
2016-09-15,402228
2016-09-16,438647
2016-09-17,453696
2016-09-18,397592
2016-09-19,345287
2016-09-20,356470
2016-09-21,358383
2016-09-22,386533
2016-09-23,426034
2016-09-24,463222
2016-09-25,391856
2016-09-26,343328
2016-09-27,368396
2016-09-28,390668
2016-09-29,410605
2016-09-30,475767
2016-10-01,435637
2016-10-02,380963
2016-10-03,312427
2016-10-04,334111
2016-10-05,374423
2016-10-06,406149
2016-10-07,420664
2016-10-08,469571
2016-10-09,414303
2016-10-10,323243
2016-10-11,338479
2016-10-12,322970
2016-10-13,401902
2016-10-14,438232
2016-10-15,463304
2016-10-16,402182
2016-10-17,340514
2016-10-18,357888
2016-10-19,388121
2016-10-20,414374
2016-10-21,484966
2016-10-22,510178
2016-10-23,414525
2016-10-24,352281
2016-10-25,391101
2016-10-26,412328
2016-10-27,492103
2016-10-28,491722
2016-10-29,527349
2016-10-30,470112
2016-10-31,371863
2016-11-01,385845
2016-11-02,386669
2016-11-03,432607
2016-11-04,457119
2016-11-05,480590
2016-11-06,394446
2016-11-07,370008
2016-11-08,363908
2016-11-09,413540
2016-11-10,416518
2016-11-11,454306
2016-11-12,490098
2016-11-13,418598
2016-11-14,354638
2016-11-15,416332
2016-11-16,386754
2016-11-17,413999
2016-11-18,441687
2016-11-19,485054
2016-11-20,451674
2016-11-21,410381
2016-11-22,429197
2016-11-23,429716
2016-11-24,368228
2016-11-25,344275
2016-11-26,388358
2016-11-27,373077
2016-11-28,369912
2016-11-29,459686
2016-11-30,449773
2016-12-01,449289
2016-12-02,497319
2016-12-03,531597
2016-12-04,456649
2016-12-05,407651
2016-12-06,464345
2016-12-07,442580
2016-12-08,482727
2016-12-09,541614
2016-12-10,571086
2016-12-11,478077
2016-12-12,418169
2016-12-13,424774
2016-12-14,459429
2016-12-15,553893
2016-12-16,578543
2016-12-17,552767
2016-12-18,465109
2016-12-19,428365
2016-12-20,430467
2016-12-21,430705
2016-12-22,430923
2016-12-23,418178
2016-12-24,389693
2016-12-25,309268
2016-12-26,284857
2016-12-27,317394
2016-12-28,350209
2016-12-29,391535
2016-12-30,425689
2016-12-31,475859
2017-01-01,455221
2017-01-02,324949
2017-01-03,384925
2017-01-04,371031
2017-01-05,410811
2017-01-06,463107
2017-01-07,461323
2017-01-08,438255
2017-01-09,429535
2017-01-10,410052
2017-01-11,417312
2017-01-12,424978
2017-01-13,476561
2017-01-14,522585
2017-01-15,453061
2017-01-16,366413
2017-01-17,455977
2017-01-18,421150
2017-01-19,435390
2017-01-20,489938
2017-01-21,471734
2017-01-22,432507
2017-01-23,464650
2017-01-24,476814
2017-01-25,431798
2017-01-26,457967
2017-01-27,504197
2017-01-28,535832
2017-01-29,448628
2017-01-30,397692
2017-01-31,423145
2018-01-18,1
2017-02-01,420401
2017-02-02,455977
2017-02-03,528190
2017-02-04,554757
2017-02-05,502199
2017-02-06,417318
2017-02-07,450524
2017-02-08,451905
2017-02-09,346974
2017-02-10,566432
2017-02-11,579782
2017-02-12,522867
2017-02-13,450253
2017-02-14,504382
2017-02-15,476793
2017-02-16,473291
2017-02-17,519842
2017-02-18,514009
2017-02-19,464024
2017-02-20,385479
2017-02-21,403200
2017-02-22,421290
2017-02-23,456412
2017-02-24,501682
2017-02-25,567666
2017-02-26,487778
2017-02-27,432890
2017-02-28,428643
2017-03-01,464864
2017-03-02,512146
2017-03-03,570644
2017-03-04,641681
2017-03-05,527258
2017-03-06,447062
2017-03-07,463508
2017-03-08,465026
2017-03-09,499269
2017-03-10,585629
2017-03-11,632786
2017-03-12,533818
2017-03-13,503940
2017-03-14,222276
2017-03-15,507221
2017-03-16,526580
2017-03-17,537471
2017-03-18,605158
2017-03-19,482482
2017-03-20,426770
2017-03-21,428195
2017-03-22,497167
2017-03-23,502387
2017-03-24,528855
2017-03-25,565217
2017-03-26,495810
2017-03-27,435915
2017-03-28,491890
2017-03-29,457108
2017-03-30,496322
2017-03-31,648643
2017-04-01,521968
2017-04-02,364712
2017-04-03,438019
2017-04-04,473117
2017-04-05,476122
2017-04-06,557578
2017-04-07,563706
2017-04-08,578147
2017-04-09,498406
2017-04-10,414072
2017-04-11,423693
2017-04-12,441182
2017-04-13,471541
2017-04-14,488822
2017-04-15,513061
2017-04-16,468052
2017-04-17,398341
2017-04-18,428275
2017-04-19,481392
2017-04-20,510979
2017-04-21,568589
2017-04-22,578359
2017-04-23,496437
2017-04-24,444229
2017-04-25,546159
2017-04-26,488079
2017-04-27,506575
2017-04-28,543456
2017-04-29,587668
2017-04-30,494207
2017-05-01,428245
2017-05-02,449931
2017-05-03,468410
2017-05-04,498899
2017-05-05,617676
2017-05-06,593792
2017-05-07,501028
2017-05-08,437885
2017-05-09,457790
2017-05-10,473591
2017-05-11,496793
2017-05-12,531477
2017-05-13,681253
2017-05-14,488685
2017-05-15,444047
2017-05-16,466177
2017-05-17,500825
2017-05-18,532125
2017-05-19,556231
2017-05-20,576601
2017-05-21,487727
2017-05-22,498216
2017-05-23,458737
2017-05-24,476407
2017-05-25,559362
2017-05-26,493555
2017-05-27,485402
2017-05-28,450482
2017-05-29,388471
2017-05-30,439511
2017-05-31,458062
2017-06-01,465464
2017-06-02,515682
2017-06-03,555821
2017-06-04,494350
2017-06-05,455780
2017-06-06,496031
2017-06-07,497770
2017-06-08,532064
2017-06-09,552629
2017-06-10,594974
2017-06-11,518361
2017-06-12,470872
2017-06-13,498675
2017-06-14,506456
2017-06-15,521122
2017-06-16,553410
2017-06-17,590789
2017-06-18,498898
2017-06-19,503307
2017-06-20,477133
2017-06-21,504340
2017-06-22,504862
2017-06-23,575157
2017-06-24,592747
2017-06-25,480470
2017-06-26,432804
2017-06-27,479635
2017-06-28,480619
2017-06-29,490007
2017-06-30,524892
2017-07-01,519801
2017-07-02,452071
2017-07-03,405165
2017-07-04,399834
2017-07-05,430748
2017-07-06,444845
2017-07-07,541295
2017-07-08,539254
2017-07-09,487821
2017-07-10,446631
2017-07-11,470792
2017-07-12,505734
2017-07-13,544254
2017-07-14,581140
2017-07-15,582210
2017-07-16,524977
2017-07-17,465520
2017-07-18,490344
2017-07-19,523856
2017-07-20,557824
2017-07-21,579489
2017-07-22,601250
2017-07-23,515018
2017-07-24,484683
2017-07-25,461122
2017-07-26,487486
2017-07-27,523352
2017-07-28,557143
2017-07-29,575260
2017-07-30,517872
2017-07-31,455883
2017-08-01,473044
2017-08-02,513472
2017-08-03,526657
2017-08-04,568029
2017-08-05,565580
2017-08-06,503326
2017-08-07,508106
2017-08-08,462378
2017-08-09,487311
2017-08-10,514774
2017-08-11,547456
2017-08-12,564641
2017-08-13,502594
2017-08-14,446076
2017-08-15,486233
2017-08-16,489165
2017-08-17,512087
2017-08-18,586089
2017-08-19,581680
2017-08-20,521199
2017-08-21,454865
2017-08-22,490284
2017-08-23,499081
2017-08-24,507756
2017-08-25,541635
2017-08-26,583847
2017-08-27,528477
2017-08-28,442549
2017-08-29,512014
2017-08-30,477229
2017-08-31,508630
2017-09-01,549600
2017-09-02,593375
2017-09-03,512869
2017-09-04,453338
2017-09-05,486637
2017-09-06,563917
2017-09-07,550008
2017-09-08,611731
2017-09-09,656494
2017-09-10,582208
2017-09-11,497642
2017-09-12,517808
2017-09-13,547843
2017-09-14,579097
2017-09-15,611871
2017-09-16,652242
2017-09-17,581299
2017-09-18,474563
2017-09-19,506677
2017-09-20,491292
2017-09-21,486825
2017-09-22,564867
2017-09-23,651549
2017-09-24,571608
2017-09-25,490653
2017-09-26,498344
2017-09-27,537156
2017-09-28,558412
2017-09-29,599454
2017-09-30,642107
2017-10-01,556957
2017-10-02,473440
2017-10-03,490823
2017-10-04,516521
2017-10-05,551737
2017-10-06,608641
2017-10-07,669170
2017-10-08,596112
2017-10-09,493385
2017-10-10,511226
2017-10-11,531103
2017-10-12,558082
2017-10-13,614253
2017-10-14,679496
2017-10-15,585430
2017-10-16,518972
2017-10-17,522925
2017-10-18,539396
2017-10-19,566781
2017-10-20,623421
2017-10-21,667254
2017-10-22,580496
2017-10-23,501466
2017-10-24,553488
2017-10-25,547968
2017-10-26,608571
2017-10-27,662897
2017-10-28,739721
2017-10-29,750803
2017-10-30,537074
2017-10-31,535448
2017-11-01,561386
2017-11-02,576362
2017-11-03,654378
2017-11-04,704135
2017-11-05,585976
2017-11-06,528474
2017-11-07,631949
2017-11-08,573180
2017-11-09,606248
2017-11-10,727141
2017-11-11,734560
2017-11-12,627690
2017-11-13,565119
2017-11-14,564524
2017-11-15,590098
2017-11-16,642890
2017-11-17,694397
2017-11-18,759654
2017-11-19,646576
2017-11-20,556367
2017-11-21,560580
2017-11-22,618560
2017-11-23,539802
2017-11-24,492715
2017-11-25,545183
2017-11-26,535962
2017-11-27,524617
2017-11-28,537706
2017-11-29,556841
2017-11-30,610736
2017-12-01,683155
2017-12-02,738778
2017-12-03,636225
2017-12-04,555273
2017-12-05,627202
2017-12-06,621232
2017-12-07,659935
2017-12-08,730143
2017-12-09,827216
2017-12-10,654317
2017-12-11,591210
2017-12-12,609967
2017-12-13,692277
2017-12-14,717172
2017-12-15,784803
2017-12-16,801280
2017-12-17,678728
2017-12-18,577777
2017-12-19,590798
2017-12-20,629432
2017-12-21,646482
2017-12-22,649729
2017-12-23,617416
2017-12-24,546140
2017-12-25,449734
2017-12-26,472526
2017-12-27,537563
2017-12-28,612416
2017-12-29,666028
2017-12-30,642141
2017-12-31,742122
2018-01-01,702084
2018-01-02,547447
2018-01-03,583735
2018-01-04,354626
2018-01-05,699966
2018-01-06,793837
2018-01-07,676884
2018-01-08,595725
2018-01-09,583549
2018-01-10,591396
2018-01-11,613159
2018-01-12,717235
2018-01-13,761601
2018-01-14,719824
2018-01-15,565707
2018-01-16,593094
2018-01-17,628140
2018-01-18,658275
2018-01-19,708366
2018-01-20,717757
2018-01-21,617580
2018-01-22,552383
2018-01-23,586526
2018-01-24,614350
2018-01-25,672438
2018-01-26,738783
2018-01-27,749203
2018-01-28,649278
2018-01-29,565522
2018-01-30,608737
2018-01-31,640887
2018-02-01,650280
2018-02-02,787792
2018-02-03,810861
2018-02-04,751930
2018-02-05,615466
2018-02-06,613406
2018-02-07,717987
2018-02-08,693736
2018-02-09,759073
2018-02-10,837532
2018-02-11,709953
2018-02-12,600770
2018-02-13,640654
2018-02-14,692307
2018-02-15,678990
2018-02-16,733686
2018-02-17,806196
2018-02-18,674101
2018-02-19,569744
2018-02-20,565895
2018-02-21,606395
2018-02-22,705730
2018-02-23,756859
2018-02-24,803358
2018-02-25,708745
2018-02-26,597773
2018-02-27,616924
2018-02-28,644550
2018-03-01,719790
2018-03-02,875970
2018-03-03,792995
2018-03-04,716458
2018-03-05,633494
2018-03-06,655786
2018-03-07,632161
2018-03-08,721037
2018-03-09,775761
2018-03-10,823813
2018-03-11,688124
2018-03-12,637009
2018-03-13,669578
2018-03-14,701929
2018-03-15,738361
2018-03-16,784057
2018-03-17,829205
2018-03-18,701137
2018-03-19,618630
2018-03-20,678099
2018-03-21,508493
2018-03-22,715164
2018-03-23,753424
2018-03-24,788653
2018-03-25,704608
2018-03-26,620765
2018-03-27,643938
2018-03-28,668401
2018-03-29,710020
2018-03-30,729991
2018-03-31,748419
2018-04-01,626045
2018-04-02,567090
2018-04-03,618984
2018-04-04,615097
2018-04-05,659949
2018-04-06,706298
2018-04-07,756772
2018-04-08,707020
2018-04-09,633842
2018-04-10,646546
2018-04-11,667162
2018-04-12,696848
2018-04-13,760030
2018-04-14,852722
2018-04-15,765487
2018-04-16,690286
2018-04-17,662121
2018-04-18,669815
2018-04-19,749705
2018-04-20,791255
2018-04-21,822766
2018-04-22,706914
2018-04-23,615219
2018-04-24,639770
2018-04-25,716420
2018-04-26,703809
2018-04-27,787988
2018-04-28,829057
2018-04-29,727009
2018-04-30,657595
2018-05-01,629361
2018-05-02,669225
2018-05-03,736987
2018-05-04,756102
2018-05-05,829692
2018-05-06,683594
2018-05-07,610160
2018-05-08,630572
2018-05-09,660145
2018-05-10,725445
2018-05-11,747008
2018-05-12,834946
2018-05-13,733434
2018-05-14,619228
2018-05-15,689620
2018-05-16,740988
2018-05-17,731100
2018-05-18,754287
2018-05-19,859406
2018-05-20,679621
2018-05-21,595172
2018-05-22,667709
2018-05-23,661368
2018-05-24,695451
2018-05-25,718897
2018-05-26,727514
2018-05-27,652033
2018-05-28,538075
2018-05-29,612505
2018-05-30,649146
2018-05-31,726961
2018-06-01,778825
2018-06-02,832582
2018-06-03,724210
2018-06-04,615400
2018-06-05,593145
2018-06-06,640963
2018-06-07,679664
2018-06-08,719343
2018-06-09,772349
2018-06-10,679498
2018-06-11,619024
2018-06-12,632265
2018-06-13,691830
2018-06-14,723966
2018-06-15,722120
2018-06-16,774118
2018-06-17,683914
2018-06-18,658459
2018-06-19,674097
2018-06-20,695010
2018-06-21,734188
2018-06-22,768807
2018-06-23,785171
2018-06-24,694615
2018-06-25,634461
2018-06-26,638596
2018-06-27,664752
2018-06-28,740224
2018-06-29,747346
2018-06-30,819009
2018-07-01,718102
2018-07-02,635723
2018-07-03,671197
2018-07-04,598335
2018-07-05,625995
2018-07-06,659217
2018-07-07,701663
2018-07-08,645915
2018-07-09,616380
2018-07-10,648997
2018-07-11,671828
2018-07-12,693760
2018-07-13,753326
2018-07-14,813751
2018-07-15,719360
2018-07-16,656439
2018-07-17,719819
2018-07-18,679538
2018-07-19,693687
2018-07-20,758462
2018-07-21,861744
2018-07-22,721750
2018-07-23,647849
2018-07-24,658183
2018-07-25,722713
2018-07-26,715838
2018-07-27,811480
2018-07-28,803955
2018-07-29,715040
2018-07-30,623059
2018-07-31,636609
2018-08-01,695239
2018-08-02,719802
2018-08-03,769875
2018-08-04,813766
2018-08-05,726447
2018-08-06,648358
2018-08-07,687320
2018-08-08,702115
2018-08-09,718465
2018-08-10,764246
2018-08-11,807997
2018-08-12,697434
2018-08-13,669110
2018-08-14,661636
2018-08-15,685393
2018-08-16,717181
2018-08-17,784830
2018-08-18,824137
2018-08-19,700526
2018-08-20,611135
2018-08-21,613642
2018-08-22,657327
2018-08-23,680166
2018-08-24,743229
2018-08-25,797876
