date,trips
2015-06-27,74883
2015-06-28,54632
2015-06-29,41397
2015-06-30,42981
2015-07-01,49634
2015-07-02,51527
2015-07-03,51202
2015-07-04,53768
2015-07-05,51192
2015-07-06,39607
2015-07-07,41372
2015-07-08,44912
2015-07-09,49217
2015-07-10,54007
2015-07-11,65403
2015-07-12,55678
2015-07-13,39975
2015-07-14,41019
2015-07-15,44259
2015-07-16,46468
2015-07-17,47302
2015-07-18,63367
2015-07-19,60375
2015-07-20,43366
2015-07-21,42821
2015-07-22,44867
2015-07-23,47678
2015-07-24,55290
2015-07-25,66372
2015-07-26,55769
2015-07-27,39821
2015-07-28,42197
2015-07-29,45820
2015-07-30,49235
2015-07-31,58151
2015-08-01,67702
2015-08-02,56700
2015-08-03,41759
2015-08-04,42253
2015-08-05,43758
2015-08-06,46777
2015-08-07,53776
2015-08-08,64827
2015-08-09,54309
2015-08-10,38228
2015-08-11,40248
2015-08-12,42982
2015-08-13,47162
2015-08-14,54988
2015-08-15,65254
2015-08-16,55389
2015-08-17,40875
2015-08-18,40956
2015-08-19,43603
2015-08-20,47738
2015-08-21,54970
2015-08-22,64497
2015-08-23,54477
2015-08-24,38720
2015-08-25,38988
2015-08-26,40569
2015-08-27,44111
2015-08-28,51835
2015-08-29,61137
2015-08-30,53489
2015-08-31,40266
2015-09-01,41553
2015-09-02,43424
2015-09-03,48372
2015-09-04,54097
2015-09-05,58829
2015-09-06,53123
2015-09-07,42077
2015-09-08,42998
2015-09-09,46777
2015-09-10,53057
2015-09-11,56693
2015-09-12,66962
2015-09-13,55514
2015-09-14,39199
2015-09-15,41161
2015-09-16,46824
2015-09-17,49964
2015-09-18,57535
2015-09-19,68348
2015-09-20,57182
2015-09-21,42266
2015-09-22,40881
2015-09-23,41171
2015-09-24,40162
2015-09-25,54180
2015-09-26,65594
2015-09-27,54856
2015-09-28,41854
2015-09-29,43666
2015-09-30,46608
2015-10-01,54340
2015-10-02,65765
2015-10-03,61386
2015-10-04,51988
2015-10-05,40960
2015-10-06,42044
2015-10-07,44441
2015-10-08,49428
2015-10-09,59289
2015-10-10,63203
2015-10-11,54782
2015-10-12,36379
2015-10-13,42850
2015-10-14,44886
2015-10-15,49586
2015-10-16,58548
2015-10-17,68948
2015-10-18,58732
2015-10-19,42702
2015-10-20,43180
2015-10-21,44853
2015-10-22,48603
2015-10-23,58747
2015-10-24,67376
2015-10-25,55317
2015-10-26,41874
2015-10-27,43212
2015-10-28,51067
2015-10-29,49701
2015-10-30,63849
2015-10-31,72500
2015-11-01,62797
2015-11-02,41085
2015-11-03,40379
2015-11-04,43999
2015-11-05,49863
2015-11-06,56664
2015-11-07,66459
2015-11-08,55621
2015-11-09,41147
2015-11-10,47552
2015-11-11,42148
2015-11-12,49557
2015-11-13,60519
2015-11-14,70289
2015-11-15,56058
2015-11-16,41105
2015-11-17,44727
2015-11-18,45494
2015-11-19,56609
2015-11-20,59936
2015-11-21,68434
2015-11-22,56226
2015-11-23,45431
2015-11-24,46597
2015-11-25,51013
2015-11-26,49041
2015-11-27,41880
2015-11-28,49869
2015-11-29,47662
2015-11-30,41823
2015-12-01,47290
2015-12-02,47061
2015-12-03,51587
2015-12-04,59348
2015-12-05,68091
2015-12-06,55330
2015-12-07,42302
2015-12-08,44306
2015-12-09,46911
2015-12-10,50709
2015-12-11,60113
2015-12-12,68101
2015-12-13,58207
2015-12-14,45771
2015-12-15,46266
2015-12-16,51111
2015-12-17,57754
2015-12-18,67735
2015-12-19,73435
2015-12-20,58388
2015-12-21,45437
2015-12-22,47149
2015-12-23,52780
2015-12-24,56420
2015-12-25,39236
2015-12-26,39455
2015-12-27,39514
2015-12-28,38612
2015-12-29,38222
2015-12-30,44696
2015-12-31,66960
2016-01-01,64398
2016-01-02,46958
2016-01-03,44270
2016-01-04,43740
2016-01-05,42342
2016-01-06,42027
2016-01-07,42811
2016-01-08,50987
2016-01-09,56861
2016-01-10,49877
2016-01-11,41603
2016-01-12,41126
2016-01-13,45839
2016-01-14,45846
2016-01-15,52719
2016-01-16,59626
2016-01-17,52803
2016-01-18,38913
2016-01-19,43963
2016-01-20,43734
2016-01-21,48606
2016-01-22,57552
2016-01-23,11031
2016-01-24,22010
2016-01-25,42944
2016-01-26,44322
2016-01-27,45792
2016-01-28,47519
2016-01-29,57370
2016-01-30,65415
2016-01-31,52288
2016-02-01,42456
2016-02-02,42445
2016-02-03,46115
2016-02-04,48063
2016-02-05,55521
2016-02-06,64640
2016-02-07,56269
2016-02-08,41975
2016-02-09,41629
2016-02-10,47315
2016-02-11,56100
2016-02-12,61363
2016-02-13,70652
2016-02-14,57902
2016-02-15,44269
2016-02-16,42679
2016-02-17,45466
2016-02-18,50612
2016-02-19,57004
2016-02-20,66513
2016-02-21,55142
2016-02-22,41179
2016-02-23,49523
2016-02-24,49668
2016-02-25,51493
2016-02-26,60253
2016-02-27,67411
2016-02-28,53739
2016-02-29,43326
2016-03-01,45349
2016-03-02,49331
2016-03-03,52983
2016-03-04,58737
2016-03-05,68122
2016-03-06,53538
2016-03-07,41294
2016-03-08,43023
2016-03-09,45284
2016-03-10,48983
2016-03-11,57954
2016-03-12,67200
2016-03-13,51739
2016-03-14,46516
2016-03-15,42507
2016-03-16,46890
2016-03-17,50797
2016-03-18,57699
2016-03-19,64359
2016-03-20,55616
2016-03-21,41736
2016-03-22,43293
2016-03-23,44630
2016-03-24,51454
2016-03-25,51883
2016-03-26,62613
2016-03-27,53237
2016-03-28,41635
2016-03-29,43788
2016-03-30,46051
2016-03-31,48152
2016-04-01,57024
2016-04-02,66097
2016-04-03,56100
2016-04-04,46640
2016-04-05,47499
2016-04-06,46256
2016-04-07,48454
2016-04-08,58818
2016-04-09,68654
2016-04-10,56024
2016-04-11,42216
2016-04-12,44189
2016-04-13,45543
2016-04-14,48868
2016-04-15,57218
2016-04-16,67849
2016-04-17,56261
2016-04-18,41263
2016-04-19,41894
2016-04-20,45197
2016-04-21,47334
2016-04-22,53773
2016-04-23,62011
2016-04-24,52698
2016-04-25,37857
2016-04-26,42528
2016-04-27,42607
2016-04-28,45585
2016-04-29,55564
2016-04-30,61905
2016-05-01,51976
2016-05-02,40595
2016-05-03,44265
2016-05-04,46171
2016-05-05,50559
2016-05-06,60060
2016-05-07,67447
2016-05-08,57984
2016-05-09,40281
2016-05-10,41134
2016-05-11,42589
2016-05-12,48427
2016-05-13,55685
2016-05-14,67398
2016-05-15,57551
2016-05-16,41273
2016-05-17,43709
2016-05-18,46099
2016-05-19,48593
2016-05-20,55470
2016-05-21,67758
2016-05-22,52573
2016-05-23,39268
2016-05-24,40960
2016-05-25,44759
2016-05-26,47878
2016-05-27,52707
2016-05-28,57265
2016-05-29,50109
2016-05-30,37049
2016-05-31,39387
2016-06-01,42869
2016-06-02,46339
2016-06-03,54391
2016-06-04,66186
2016-06-05,51552
2016-06-06,38994
2016-06-07,40615
2016-06-08,47278
2016-06-09,45042
2016-06-10,50795
2016-06-11,59278
2016-06-12,48480
2016-06-13,37941
2016-06-14,37737
2016-06-15,42177
2016-06-16,45686
2016-06-17,52327
2016-06-18,60909
2016-06-19,52528
2016-06-20,38499
2016-06-21,39289
2016-06-22,41869
2016-06-23,45032
2016-06-24,50677
2016-06-25,58952
2016-06-26,51363
2016-06-27,39832
2016-06-28,37497
2016-06-29,38168
2016-06-30,42425
2016-07-01,48322
2016-07-02,46427
2016-07-03,41278
2016-07-04,37722
2016-07-05,36540
2016-07-06,30339
2016-07-07,39134
2016-07-08,45842
2016-07-09,52710
2016-07-10,44746
2016-07-11,34316
2016-07-12,34946
2016-07-13,38870
2016-07-14,42025
2016-07-15,48453
2016-07-16,56296
2016-07-17,48064
2016-07-18,37181
2016-07-19,35325
2016-07-20,37829
2016-07-21,41383
2016-07-22,48816
2016-07-23,54436
2016-07-24,46205
2016-07-25,37987
2016-07-26,36576
2016-07-27,38636
2016-07-28,42979
2016-07-29,47642
2016-07-30,56753
2016-07-31,44732
2016-08-01,35850
2016-08-02,37003
2016-08-03,38862
2016-08-04,41787
2016-08-05,46396
2016-08-06,52693
2016-08-07,44964
2016-08-08,33379
2016-08-09,34940
2016-08-10,38044
2016-08-11,42518
2016-08-12,48939
2016-08-13,55274
2016-08-14,45042
2016-08-15,35342
2016-08-16,35548
2016-08-17,36971
2016-08-18,39257
2016-08-19,46438
2016-08-20,51976
2016-08-21,44883
2016-08-22,32071
2016-08-23,32399
2016-08-24,34444
2016-08-25,37930
2016-08-26,42258
2016-08-27,47699
2016-08-28,40702
2016-08-29,30704
2016-08-30,30338
2016-08-31,33024
2016-09-01,37645
2016-09-02,40663
2016-09-03,41460
2016-09-04,36926
2016-09-05,28977
2016-09-06,32289
2016-09-07,34362
2016-09-08,38237
2016-09-09,44445
2016-09-10,50782
2016-09-11,41266
2016-09-12,26304
2016-09-13,31938
2016-09-14,36819
2016-09-15,38601
2016-09-16,43180
2016-09-17,50595
2016-09-18,41573
2016-09-19,34034
2016-09-20,33684
2016-09-21,35084
2016-09-22,38391
2016-09-23,44341
2016-09-24,50841
2016-09-25,40956
2016-09-26,32165
2016-09-27,32410
2016-09-28,36812
2016-09-29,38613
2016-09-30,48980
2016-10-01,50873
2016-10-02,41637
2016-10-03,30983
2016-10-04,31040
2016-10-05,35949
2016-10-06,38825
2016-10-07,44613
2016-10-08,53161
2016-10-09,42916
2016-10-10,28695
2016-10-11,33229
2016-10-12,31784
2016-10-13,38542
2016-10-14,44966
2016-10-15,51664
2016-10-16,42091
2016-10-17,31799
2016-10-18,33411
2016-10-19,35911
2016-10-20,39205
2016-10-21,46276
2016-10-22,52160
2016-10-23,41260
2016-10-24,32843
2016-10-25,35734
2016-10-26,37347
2016-10-27,42928
2016-10-28,46910
2016-10-29,52386
2016-10-30,47707
2016-10-31,35727
2016-11-01,36155
2016-11-02,35388
2016-11-03,39459
2016-11-04,45295
2016-11-05,49691
2016-11-06,40691
2016-11-07,32507
2016-11-08,30389
2016-11-09,36401
2016-11-10,38427
2016-11-11,43210
2016-11-12,48187
2016-11-13,40236
2016-11-14,32689
2016-11-15,35589
2016-11-16,35690
2016-11-17,38621
2016-11-18,45088
2016-11-19,51113
2016-11-20,42889
2016-11-21,35840
2016-11-22,37365
2016-11-23,39361
2016-11-24,34367
2016-11-25,30693
2016-11-26,36675
2016-11-27,33876
2016-11-28,30403
2016-11-29,34598
2016-11-30,37321
2016-12-01,39540
2016-12-02,45576
2016-12-03,50209
2016-12-04,39922
2016-12-05,33427
2016-12-06,39221
2016-12-07,36563
2016-12-08,39861
2016-12-09,48307
2016-12-10,52296
2016-12-11,40533
2016-12-12,33899
2016-12-13,34984
2016-12-14,38574
2016-12-15,46087
2016-12-16,51133
2016-12-17,48264
2016-12-18,42249
2016-12-19,37711
2016-12-20,37990
2016-12-21,38920
2016-12-22,40663
2016-12-23,43206
2016-12-24,40745
2016-12-25,26502
2016-12-26,23392
2016-12-27,26384
2016-12-28,30525
2016-12-29,31432
2016-12-30,39398
2016-12-31,46645
2017-01-01,40938
2017-01-02,24526
2017-01-03,30933
2017-01-04,32041
2017-01-05,34812
2017-01-06,38314
2017-01-07,32077
2017-01-08,32989
2017-01-09,32743
2017-01-10,30820
2017-01-11,32029
2017-01-12,33188
2017-01-13,41211
2017-01-14,42728
2017-01-15,36098
2017-01-16,24987
2017-01-17,33056
2017-01-18,31455
2017-01-19,34193
2017-01-20,38979
2017-01-21,40656
2017-01-22,33498
2017-01-23,33920
2017-01-24,32931
2017-01-25,32277
2017-01-26,35226
2017-01-27,41653
2017-01-28,44102
2017-01-29,35347
2017-01-30,30298
2017-01-31,31540
2017-02-01,33833
2017-02-02,36789
2017-02-03,43447
2017-02-04,46838
2017-02-05,37858
2017-02-06,30273
2017-02-07,31771
2017-02-08,34487
2017-02-09,15945
2017-02-10,42093
2017-02-11,45926
